,Date,Time,Open,High,Low,Close,Volume
550,2020-04-13,11:01:00,153.48,153.58,153.37,153.38,967.56409
551,2020-04-13,11:02:00,153.37,153.5,153.3,153.32,917.59384
552,2020-04-13,11:03:00,153.32,153.4,153.2,153.33,1313.01629
553,2020-04-13,11:04:00,153.34,153.35,153.25,153.3,1387.48262
554,2020-04-13,11:05:00,153.3,153.3,153.16,153.25,760.18381
555,2020-04-13,11:06:00,153.25,153.26,153.15,153.25,1069.75377
556,2020-04-13,11:07:00,153.25,153.26,153.03,153.06,721.93436
557,2020-04-13,11:08:00,153.03,153.09,152.89,152.97,1187.25033
558,2020-04-13,11:09:00,152.95,153.03,152.94,152.96,433.77537
559,2020-04-13,11:10:00,152.96,153.04,152.87,152.88,621.69954
560,2020-04-13,11:11:00,152.88,153.0,152.82,152.84,738.56341
561,2020-04-13,11:12:00,152.86,152.98,152.83,152.88,234.32395
562,2020-04-13,11:13:00,152.88,152.99,152.8,152.9,448.8514
563,2020-04-13,11:14:00,152.91,153.0,152.84,152.87,288.00686
564,2020-04-13,11:15:00,152.87,152.97,152.86,152.96,164.354
565,2020-04-13,11:16:00,152.97,153.1,152.97,153.01,800.975
566,2020-04-13,11:17:00,153.03,153.13,152.94,153.09,1318.88392
567,2020-04-13,11:18:00,153.09,153.15,153.08,153.12,219.11021
568,2020-04-13,11:19:00,153.11,153.11,153.01,153.09,454.36057
569,2020-04-13,11:20:00,153.1,153.2,153.1,153.18,260.60746
570,2020-04-13,11:21:00,153.17,153.33,153.13,153.33,170.33765
571,2020-04-13,11:22:00,153.3,153.54,153.3,153.52,514.79301
572,2020-04-13,11:23:00,153.52,153.71,153.48,153.7,870.42191
573,2020-04-13,11:24:00,153.67,153.73,153.55,153.6,820.80093
574,2020-04-13,11:25:00,153.63,153.63,153.38,153.47,2087.54513
575,2020-04-13,11:26:00,153.47,153.55,153.44,153.44,478.12276
576,2020-04-13,11:27:00,153.44,153.74,153.44,153.73,1186.19815
577,2020-04-13,11:28:00,153.71,153.75,153.54,153.71,536.3351
578,2020-04-13,11:29:00,153.74,153.86,153.73,153.73,572.44216
579,2020-04-13,11:30:00,153.73,153.75,153.61,153.72,257.93269
